Date,PX_LAST,PX_VOLUME
12/4/2002,92.45,64151000
12/5/2002,91.43,36825300
12/6/2002,92.03,50132600
12/9/2002,89.5,36888500
12/10/2002,90.7,33451700
12/11/2002,90.78,39207900
12/12/2002,90.77,34486300
12/13/2002,89.34,36877700
12/16/2002,91.65,37119500
12/17/2002,90.85,32405800
12/18/2002,89.8,35651300
12/19/2002,89.16,39293300
12/20/2002,89.99,31183500
12/23/2002,90.02,22645500
12/24/2002,89.355,10937000
12/26/2002,89.39,17490000
12/27/2002,87.38,22213100
12/30/2002,88.11,29972300
12/31/2002,88.23,34038300
1/2/2003,91.07,44645400
1/3/2003,91.35,32227900
1/6/2003,92.96,41009800
1/7/2003,92.73,38656800
1/8/2003,91.39,38739700
1/9/2003,92.81,34858800
1/10/2003,93.06,37773300
1/13/2003,93.03,31676800
1/14/2003,93.33,30924700
1/15/2003,92.4,33543000
1/16/2003,92.02,45381800
1/17/2003,90.66,35621000
1/21/2003,89.25,42376400
1/22/2003,88.17,42816000
1/23/2003,88.71,56082000
1/24/2003,86.38,68703000
1/27/2003,85.2,58297300
1/28/2003,85.83,46965300
1/29/2003,86.48,53780800
1/30/2003,84.43,49886700
1/31/2003,86.06,55323600
2/3/2003,86.23,39799900
2/4/2003,85.38,43762600
2/5/2003,84.85,55304300
2/6/2003,84.45,53664400
2/7/2003,83.42,43170200
2/10/2003,84.01,45476500
2/11/2003,83.43,46887400
2/12/2003,82.1,35929500
2/13/2003,82.35,58073500
2/14/2003,84.15,59590200
2/18/2003,85.63,39527000
2/19/2003,85.18,31441500
2/20/2003,84.33,29300500
2/21/2003,85.18,60965300
2/24/2003,83.8,30703600
2/25/2003,84.47,56927400
2/26/2003,83.24,37808200
2/27/2003,84.34,51834200
2/28/2003,84.9,43891400
3/3/2003,84.09,42942600
3/4/2003,82.75,31481900
3/5/2003,83.45,44110700
3/6/2003,82.75,41469400
3/7/2003,83.32,63584700
3/10/2003,81.32,41077700
3/11/2003,80.52,48128900
3/12/2003,81.06,62483800
3/13/2003,83.86,72199000
3/14/2003,84.13,63965400
3/17/2003,86.78,88316900
3/18/2003,87.29,51094700
3/19/2003,87.96,49668600
3/20/2003,88.15,67479700
3/21/2003,89.67,71267000
3/24/2003,86.69,65434500
3/25/2003,87.52,61190500
3/26/2003,87.08,45772400
3/27/2003,87.15,53294500
3/28/2003,86.71,32604600
3/31/2003,84.74,60802300
4/1/2003,86.04,53914800
4/2/2003,88.12,50507800
4/3/2003,87.7,49028500
4/4/2003,88.22,36262500
4/7/2003,88.05,69833100
4/8/2003,88.19,39753900
4/9/2003,87.03,55693900
4/10/2003,87.51,42155800
4/11/2003,87.15,47738800
4/14/2003,88.95,36967900
4/15/2003,89.78,49989400
4/16/2003,88.25,51820400
4/17/2003,89.56,37487600
4/21/2003,89.65,32085800
4/22/2003,91.34,59870000
4/23/2003,92.18,44254100
4/24/2003,91.36,50038400
4/25/2003,90.23,43926700
4/28/2003,91.79,46471900
4/29/2003,91.79,52347400
4/30/2003,91.91,48919400
5/1/2003,91.9,50419000
5/2/2003,93.21,50239900
5/5/2003,93.03,35456200
5/6/2003,93.91,44587300
5/7/2003,93.39,41443000
5/8/2003,92.45,40774900
5/9/2003,93.73,33653700
5/12/2003,94.88,35688500
5/13/2003,94.71,39299000
5/14/2003,94.51,32236900
5/15/2003,95.11,43939900
5/16/2003,94.87,38914500
5/19/2003,92.65,43242300
5/20/2003,92.46,55457600
5/21/2003,92.65,49859600
5/22/2003,93.57,38463900
5/23/2003,93.76,26158600
5/27/2003,95.4,43739500
5/28/2003,95.67,37752100
5/29/2003,95.42,50982100
5/30/2003,96.95,52546300
6/2/2003,97.35,50711700
6/3/2003,97.75,39555300
6/4/2003,99.16,49422500
6/5/2003,99.65,46432100
6/6/2003,99.26,60401100
6/9/2003,98.25,38400100
6/10/2003,99.25,30120200
6/11/2003,100.3,37641900
6/12/2003,100.61,36491400
6/13/2003,99.56,48640800
6/16/2003,101.66,36422100
6/17/2003,101.66,36824400
6/18/2003,101.57,35552200
6/19/2003,100.02,43570700
6/20/2003,99.44,41554900
6/23/2003,98.42,34344600
6/24/2003,98.52,36237900
6/25/2003,97.53,47864500
6/26/2003,98.8,33552000
6/27/2003,97.66,54216000
6/30/2003,97.63,33865300
7/1/2003,98.53,51418400
7/2/2003,99.77,34679700
7/3/2003,98.74,30868400
7/7/2003,100.7,31432300
7/8/2003,101.15,33159700
7/9/2003,100.58,36632000
7/10/2003,99.3,49850500
7/11/2003,100.24,40079100
7/14/2003,100.73,42157200
7/15/2003,100.51,63632700
7/16/2003,99.92,40217600
7/17/2003,98.5,48928600
7/18/2003,99.51,35705800
7/21/2003,98.28,35142700
7/22/2003,99.17,50010600
7/23/2003,99.24,37302100
7/24/2003,98.49,41176100
7/25/2003,100.23,43329600
7/28/2003,99.86,34417000
7/29/2003,99.4,53571600
7/30/2003,99.16,28428700
7/31/2003,99.39,59123300
8/1/2003,98.51,49326900
8/4/2003,98.51,55546900
8/5/2003,96.42,61749600
8/6/2003,96.98,51183600
8/7/2003,98,43549000
8/8/2003,98.28,27359700
8/11/2003,98.65,34638500
8/12/2003,99.55,43366600
8/13/2003,99.04,36158300
8/14/2003,99.31,36259400
8/15/2003,99.62,12567600
8/18/2003,100.48,22951800
8/19/2003,100.86,37460700
8/20/2003,100.45,23206200
8/21/2003,100.77,46553400
8/22/2003,99.77,52046700
8/25/2003,99.93,23495600
8/26/2003,100.11,45084500
